"zipn","p","dperson","sp","sccost","dlcost","dbcost","stcost","sctime","dltime","dbtime","sttime","stransittime","sttotime","SCAV","AVtech","STAV","DLAW","DBAW","DBDW","PRCP","BKLN","TEMP","purpose","SCAW","STAW","scooter_av","dlbike_av","dkbike_av","sctransit_av","triptime","car_av","transit_av","rd_av","walk_av","bike_av","choice","cartime","transittime","rdtime","walktime","biketime","PRCP_1","PRCP_2","PRCP_3","BKLN_1","BKLN_2","BKLN_3","BKLN_4","purpose_1","purpose_2","purpose_3","purpose_4","purpose_5","purpose_6","who","age","race","edu","work","zipcode","hhsize","child","hhincome","idincome","veh","bike","higheredu","employ","white","stu_dummy","mean_hhincome","veh_dummy","gender_F","gender_M","gender_O","mean_idincome","originpurpose_errand","originpurpose_home","originpurpose_school","originpurpose_shopping","originpurpose_social","originpurpose_work","trippurp_HBO","trippurp_HBSHOP","trippurp_HBSOC","trippurp_HBW","trippurp_NHB","meanincomek","sccost_adj","dlcost_adj","dbcost_adj","stcost_adj","sttocost_adj","popdensity","BKLNn"
47203," 543"," 194","5"," 0.00","0.00","0.00","0.0","19"," 0"," 0"," 6","  6"," 12","1","1","3","0","0","0","2","2","95","3","1","0","1","0","0","1","0","0","0","0","0","0"," 7","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0",4,25,1,5,1,"47203	",3,1,"7",7,2,1,1,1,1,0,62500,1,0,1,0,62500,0,0,0,0,0,1,0,0,0,0,1,62.5,0,0,0,0,0.032,333.1009913,0.8
47203," 543"," 194","4"," 0.00","0.00","0.00","2.0","13"," 0"," 0"," 6","  6"," 12","1","1","0","0","0","0","2","2","95","3","1","0","1","0","0","0","30","0","0","0","0","1"," 5","0","0","0","0","30","0","1","0","0","1","0","0","0","0","1","0","0","0",4,25,1,5,1,"47203	",3,1,"7",7,2,1,1,1,1,0,62500,1,0,1,0,62500,0,0,0,0,0,1,0,0,0,0,1,62.5,0,0,0,0.032,0.064,333.1009913,0.8
47203," 543"," 194","6"," 5.03","0.00","0.00","0.0","19"," 0"," 0"," 6","  6"," 12","5","1","1","0","0","0","3","4","40","3","5","0","1","0","0","0","30","0","0","0","0","1"," 7","0","0","0","0","30","0","0","1","0","0","0","1","0","0","1","0","0","0",4,25,1,5,1,"47203	",3,1,"7",7,2,1,1,1,1,0,62500,1,0,1,0,62500,0,0,0,0,0,1,0,0,0,0,1,62.5,0.08048,0,0,0,0.032,333.1009913,0
21234," 510"," 184","4"," 3.42","0.00","0.00","2.0","13"," 0"," 0"," 2","  8"," 10","3","1","5","0","0","0","1","3","80","6","3","0","1","0","0","1","0","0","0","0","0","0"," 7","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1",5,25,1,5,2,"21234",4,0,"7",7,2,1,1,1,1,1,62500,1,0,1,0,62500,0,1,0,0,0,0,0,0,1,0,0,62.5,0.05472,0,0,0.032,0.064,5371.322963,0.5
21234," 510"," 184","6"," 0.00","0.00","0.00","4.0","13"," 0"," 0"," 8","  5"," 13","0","1","5","0","0","0","1","2","40","6","0","0","1","0","0","0","30","0","0","0","0","1"," 5","0","0","0","0","30","1","0","0","0","1","0","0","0","0","0","0","0","1",5,25,1,5,2,"21234",4,0,"7",7,2,1,1,1,1,1,62500,1,0,1,0,62500,0,1,0,0,0,0,0,0,1,0,0,62.5,0,0,0,0.064,0.096,5371.322963,0.8
21234," 510"," 184","4"," 3.42","0.00","0.00","2.0","13"," 0"," 0"," 2","  8"," 10","3","1","5","0","0","0","1","3","80","6","3","0","1","0","0","0","30","0","0","0","0","1"," 5","0","0","0","0","30","1","0","0","0","0","1","0","0","0","0","0","0","1",5,25,1,5,2,"21234",4,0,"7",7,2,1,1,1,1,1,62500,1,0,1,0,62500,0,1,0,0,0,0,0,0,1,0,0,62.5,0.05472,0,0,0.032,0.064,5371.322963,0.5
21234," 510"," 184","5"," 6.64","0.00","0.00","3.0","13"," 0"," 0"," 8","  5"," 13","5","1","5","0","0","0","3","3","95","6","5","0","1","0","0","1","0","0","0","0","0","0"," 7","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1",5,25,1,5,2,"21234",4,0,"7",7,2,1,1,1,1,1,62500,1,0,1,0,62500,0,1,0,0,0,0,0,0,1,0,0,62.5,0.10624,0,0,0.048,0.08,5371.322963,0.5
21234," 510"," 184","6"," 0.00","0.00","0.00","4.0","13"," 0"," 0"," 8","  5"," 13","0","1","5","0","0","0","1","2","40","6","0","0","1","0","0","1","0","0","0","0","0","0"," 7","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1",5,25,1,5,2,"21234",4,0,"7",7,2,1,1,1,1,1,62500,1,0,1,0,62500,0,1,0,0,0,0,0,0,1,0,0,62.5,0,0,0,0.064,0.096,5371.322963,0.8
21234," 510"," 184","5"," 6.64","0.00","0.00","3.0","13"," 0"," 0"," 8","  5"," 13","5","1","5","0","0","0","3","3","95","6","5","0","1","0","0","0","30","0","0","0","0","1"," 5","0","0","0","0","30","0","0","1","0","0","1","0","0","0","0","0","0","1",5,25,1,5,2,"21234",4,0,"7",7,2,1,1,1,1,1,62500,1,0,1,0,62500,0,1,0,0,0,0,0,0,1,0,0,62.5,0.10624,0,0,0.048,0.08,5371.322963,0.5
27703," 353"," 190","4"," 0.00","0.00","0.00","9.4"," 0"," 0"," 0","24"," 21"," 45","0","1","5","0","0","0","1","3","80","5","0","0","0","0","0","1","130","0","0","0","0","1","10","0","0","0","0","130","1","0","0","0","0","1","0","0","0","0","0","1","0",6,44,1,5,1,"27703",4,1,"7",7,2,1,1,1,1,0,62500,1,1,0,0,62500,0,1,0,0,0,0,0,0,0,1,0,62.5,0,0,0,0.1504,0.1824,767.7675662,0.5
27703," 353"," 190","6"," 0.00","0.00","0.00","0.0"," 0"," 0"," 0","24"," 21"," 45","0","1","3","0","0","0","1","2","60","5","0","0","0","0","0","1","130","0","0","0","0","1"," 5","0","0","0","0","130","1","0","0","0","1","0","0","0","0","0","0","1","0",6,44,1,5,1,"27703",4,1,"7",7,2,1,1,1,1,0,62500,1,1,0,0,62500,0,1,0,0,0,0,0,0,0,1,0,62.5,0,0,0,0,0.032,767.7675662,0.8
27703," 353"," 190","5"," 0.00","0.00","0.00","2.5"," 0"," 0"," 0"," 6"," 31"," 37","0","1","1","0","0","0","2","2","80","5","0","0","0","0","0","1","130","0","0","0","0","1","10","0","0","0","0","130","0","1","0","0","1","0","0","0","0","0","0","1","0",6,44,1,5,1,"27703",4,1,"7",7,2,1,1,1,1,0,62500,1,1,0,0,62500,0,1,0,0,0,0,0,0,0,1,0,62.5,0,0,0,0.04,0.072,767.7675662,0.8
46222," 341"," 137","4"," 5.03","0.00","0.00","2.0","13"," 0"," 0"," 6","  6"," 12","3","0","0","0","0","0","1","3","60","5","3","0","1","0","0","1","0","0","0","0","0","0"," 7","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0",7,29,3,5,1,"46222",3,1,"7",6,3,1,1,1,0,0,62500,1,1,0,0,42500,0,0,1,0,0,0,0,0,0,0,1,42.5,0.118352941176471,0,0,0.0470588235294118,0.0941176470588235,3049.444643,0.5
46222," 341"," 137","6"," 3.42","0.00","0.00","2.0","13"," 0"," 0"," 5","  7"," 12","1","0","3","0","0","0","3","1","80","5","1","3","1","0","0","1","0","0","0","0","0","0"," 7","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0",7,29,3,5,1,"46222",3,1,"7",6,3,1,1,1,0,0,62500,1,1,0,0,42500,0,0,1,0,0,0,0,0,0,0,1,42.5,0.0804705882352941,0,0,0.0470588235294118,0.0941176470588235,3049.444643,1
46222," 341"," 137","5"," 6.64","0.00","0.00","2.0","13"," 0"," 0"," 5","  7"," 12","3","0","3","0","0","0","2","2","95","5","3","3","1","0","0","1","0","0","0","0","0","0"," 7","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0",7,29,3,5,1,"46222",3,1,"7",6,3,1,1,1,0,0,62500,1,1,0,0,42500,0,0,1,0,0,0,0,0,0,0,1,42.5,0.156235294117647,0,0,0.0470588235294118,0.0941176470588235,3049.444643,0.8
46222," 341"," 137","5"," 6.64","0.00","0.00","2.0","13"," 0"," 0"," 5","  7"," 12","3","0","3","0","0","0","2","2","95","5","3","3","1","0","0","0","30","0","0","0","0","1"," 5","0","0","0","0","30","0","1","0","0","1","0","0","0","0","0","0","1","0",7,29,3,5,1,"46222",3,1,"7",6,3,1,1,1,0,0,62500,1,1,0,0,42500,0,0,1,0,0,0,0,0,0,0,1,42.5,0.156235294117647,0,0,0.0470588235294118,0.0941176470588235,3049.444643,0.8
46222," 341"," 137","4"," 5.03","0.00","0.00","2.0","13"," 0"," 0"," 6","  6"," 12","3","0","0","0","0","0","1","3","60","5","3","0","1","0","0","0","30","0","0","0","0","1"," 5","0","0","0","0","30","1","0","0","0","0","1","0","0","0","0","0","1","0",7,29,3,5,1,"46222",3,1,"7",6,3,1,1,1,0,0,62500,1,1,0,0,42500,0,0,1,0,0,0,0,0,0,0,1,42.5,0.118352941176471,0,0,0.0470588235294118,0.0941176470588235,3049.444643,0.5
46222," 341"," 137","6"," 3.42","0.00","0.00","2.0","13"," 0"," 0"," 5","  7"," 12","1","0","3","0","0","0","3","1","80","5","1","3","1","0","0","0","30","0","0","0","0","1"," 5","0","0","0","0","30","0","0","1","1","0","0","0","0","0","0","0","1","0",7,29,3,5,1,"46222",3,1,"7",6,3,1,1,1,0,0,62500,1,1,0,0,42500,0,0,1,0,0,0,0,0,0,0,1,42.5,0.0804705882352941,0,0,0.0470588235294118,0.0941176470588235,3049.444643,1
33418," 332"," 130","4"," 6.77","0.00","0.00","0.0","23"," 0"," 0","12","  7"," 19","1","1","5","0","0","0","3","3","80","2","1","0","1","0","0","0","45","0","0","0","0","1"," 5","0","0","0","0","45","0","0","1","0","0","1","0","0","1","0","0","0","0",8,40,1,5,1,"33418	",5,1,"8",6,2,1,1,1,1,1,72500,1,0,1,0,42500,0,0,0,1,0,0,0,1,0,0,0,42.5,0.159294117647059,0,0,0,0.0470588235294118,773.0297047,0.5
33418," 332"," 130","5"," 6.77","0.00","0.00","3.0","18"," 0"," 0"," 9","  8"," 17","0","1","1","0","0","0","2","4","60","2","0","0","1","0","0","0","45","0","0","0","0","1"," 5","0","0","0","0","45","0","1","0","0","0","0","1","0","1","0","0","0","0",8,40,1,5,1,"33418	",5,1,"8",6,2,1,1,1,1,1,72500,1,0,1,0,42500,0,0,0,1,0,0,0,1,0,0,0,42.5,0.159294117647059,0,0,0.0705882352941176,0.117647058823529,773.0297047,0
