zipn,p,sp,carcost,carpark,carfeetotal,transitcost,rdcost,cartime,transittime,rdtime,walktime,biketime,purpose,car_av,transit_av,rd_av,walk_av,bike_av,choice,who,purpose_1,purpose_2,purpose_3,purpose_4,purpose_5,purpose_6,age,race,edu,work,zipcode,hhsize,child,hhincome,idincome,veh,bike,higheredu,employ,white,stu_dummy,mean_hhincome,veh_dummy,gender_F,gender_M,gender_O,originpurp,originpurpose_errand,originpurpose_home,originpurpose_school,originpurpose_shopping,originpurpose_social,originpurpose_work,meanincomehh,meanincomeindiv,carfeetotal_adj,transitcost_adj,rdcost_adj,popdensity,carfeetotal_adjindiv,transitcost_adjindiv,rdcost_adjindiv
42701,729,1,0.46,0,0.46,1.5,7.98,7,10,7,68,15,3,1,1,1,1,1,1,1367,0,0,1,0,0,0,42,6,5,2,42701,4,1,8,5,3,1,1,1,0,0,72500,1,1,0,0,2,0,1,0,0,0,0,72.5,30,0.006344828,0.020689655,0.110068966,303.8005005,0.015333333,0.05,0.266
42701,729,3,0.39,4,4.39,1.5,7.98,7,9,7,50,15,3,1,1,1,1,1,2,1367,0,0,1,0,0,0,42,6,5,2,42701,4,1,8,5,3,1,1,1,0,0,72500,1,1,0,0,2,0,1,0,0,0,0,72.5,30,0.060551724,0.020689655,0.110068966,303.8005005,0.146333333,0.05,0.266
43068,1654,3,1.5,12,13.5,2.5,16.95,25,37,22,184,64,4,1,1,1,1,0,1,801,0,0,0,1,0,0,31,1,5,1,43068,1,0,5,5,1,0,1,1,1,0,30000,1,1,0,0,2,0,1,0,0,0,0,30,30,0.45,0.083333333,0.565,2679.001499,0.45,0.083333333,0.565
43068,1654,1,1.31,4,5.31,3.5,16.95,19,33,22,212,47,4,1,1,1,1,0,1,801,0,0,0,1,0,0,31,1,5,1,43068,1,0,5,5,1,0,1,1,1,0,30000,1,1,0,0,2,0,1,0,0,0,0,30,30,0.177,0.116666667,0.565,2679.001499,0.177,0.116666667,0.565
43068,1654,2,1.11,12,13.11,2.5,16.95,19,37,22,212,64,4,1,1,1,1,0,1,801,0,0,0,1,0,0,31,1,5,1,43068,1,0,5,5,1,0,1,1,1,0,30000,1,1,0,0,2,0,1,0,0,0,0,30,30,0.437,0.083333333,0.565,2679.001499,0.437,0.083333333,0.565
43123,1703,3,0.03,8,8.03,2.5,2.59,1,1,1,5,1,5,1,1,1,1,1,5,837,0,0,0,0,1,0,30,1,5,1,43123,4,2,6,5,2,1,1,1,1,0,42500,1,1,0,0,1,0,0,0,0,0,1,42.5,30,0.188941176,0.058823529,0.060941176,981.4046463,0.267666667,0.083333333,0.086333333
43123,1703,1,0.04,12,12.04,1.5,2.97,1,1,1,6,1,5,1,1,1,1,1,5,837,0,0,0,0,1,0,30,1,5,1,43123,4,2,6,5,2,1,1,1,1,0,42500,1,1,0,0,1,0,0,0,0,0,1,42.5,30,0.283294118,0.035294118,0.069882353,981.4046463,0.401333333,0.05,0.099
43123,1703,2,0.03,8,8.03,1.5,2.2,1,1,0,5,1,5,1,1,1,1,1,5,837,0,0,0,0,1,0,30,1,5,1,43123,4,2,6,5,2,1,1,1,1,0,42500,1,1,0,0,1,0,0,0,0,0,1,42.5,30,0.188941176,0.035294118,0.051764706,981.4046463,0.267666667,0.05,0.073333333
43130,1484,1,2.65,12,14.65,3.5,28.62,34,58,34,330,84,2,1,1,1,1,1,2,951,0,1,0,0,0,0,36,1,5,1,43130,3,1,6,5,2,1,1,1,1,0,42500,1,0,1,0,1,0,0,0,0,0,1,42.5,30,0.344705882,0.082352941,0.673411765,367.9727217,0.488333333,0.116666667,0.954
43130,1484,3,3.12,0,3.12,2.5,24.33,46,58,34,380,99,2,1,1,1,1,1,1,951,0,1,0,0,0,0,36,1,5,1,43130,3,1,6,5,2,1,1,1,1,0,42500,1,0,1,0,1,0,0,0,0,0,1,42.5,30,0.073411765,0.058823529,0.572470588,367.9727217,0.104,0.083333333,0.811
43130,1484,2,3.12,12,15.12,3.5,32.92,34,58,40,330,114,2,1,1,1,1,1,2,951,0,1,0,0,0,0,36,1,5,1,43130,3,1,6,5,2,1,1,1,1,0,42500,1,0,1,0,1,0,0,0,0,0,1,42.5,30,0.355764706,0.082352941,0.774588235,367.9727217,0.504,0.116666667,1.097333333
43210,1682,1,0.66,4,4.66,2.5,8.76,11,17,10,94,28,2,1,1,1,1,0,1,848,0,1,0,0,0,0,29,4,5,1,43210,3,0,9,7,2,0,1,1,0,0,125000,1,1,0,0,3,0,0,0,1,0,0,125,62.5,0.03728,0.02,0.07008,6100.905563,0.07456,0.04,0.14016
43210,1682,2,0.76,12,12.76,1.5,10.07,8,14,10,70,25,2,1,1,1,1,0,1,848,0,1,0,0,0,0,29,4,5,1,43210,3,0,9,7,2,0,1,1,0,0,125000,1,1,0,0,3,0,0,0,1,0,0,125,62.5,0.10208,0.012,0.08056,6100.905563,0.20416,0.024,0.16112
43210,1682,3,0.76,8,8.76,3.5,8.76,10,12,11,82,25,2,1,1,1,1,0,1,848,0,1,0,0,0,0,29,4,5,1,43210,3,0,9,7,2,0,1,1,0,0,125000,1,1,0,0,3,0,0,0,1,0,0,125,62.5,0.07008,0.028,0.07008,6100.905563,0.14016,0.056,0.14016
43211,1596,3,0.19,12,12.19,2.5,3.84,3,5,3,29,7,6,0,1,1,1,1,5,887,0,0,0,0,0,1,27,2,3,2,43211,2,0,4,1,0,1,0,1,0,0,22500,0,0,1,0,6,0,0,0,0,1,0,22.5,5,0.541777778,0.111111111,0.170666667,4580.152672,2.438,0.5,0.768
43211,1596,2,0.26,12,12.26,1.5,3.84,3,4,3,25,9,6,0,1,1,1,1,5,887,0,0,0,0,0,1,27,2,3,2,43211,2,0,4,1,0,1,0,1,0,0,22500,0,0,1,0,6,0,0,0,0,1,0,22.5,5,0.544888889,0.066666667,0.170666667,4580.152672,2.452,0.3,0.768
43211,1596,1,0.26,8,8.26,2.5,4.52,4,4,4,29,7,6,0,1,1,1,1,5,887,0,0,0,0,0,1,27,2,3,2,43211,2,0,4,1,0,1,0,1,0,0,22500,0,0,1,0,6,0,0,0,0,1,0,22.5,5,0.367111111,0.111111111,0.200888889,4580.152672,1.652,0.5,0.904
43220,61,3,0.49,0,0.49,1.5,10.03,12,17,14,113,34,1,1,1,1,1,1,1,345,1,0,0,0,0,0,37,1,5,1,43220,1,0,6,6,1,1,1,1,1,0,42500,1,0,1,0,2,0,1,0,0,0,0,42.5,42.5,0.011529412,0.035294118,0.236,3674.312601,0.011529412,0.035294118,0.236
43220,61,2,0.49,0,0.49,1.5,10.03,10,20,12,83,34,1,1,1,1,1,1,1,345,1,0,0,0,0,0,37,1,5,1,43220,1,0,6,6,1,1,1,1,1,0,42500,1,0,1,0,2,0,1,0,0,0,0,42.5,42.5,0.011529412,0.035294118,0.236,3674.312601,0.011529412,0.035294118,0.236
43220,61,1,0.49,8,8.49,3.5,10.03,10,17,14,83,34,1,1,1,1,1,1,1,345,1,0,0,0,0,0,37,1,5,1,43220,1,0,6,6,1,1,1,1,1,0,42500,1,0,1,0,2,0,1,0,0,0,0,42.5,42.5,0.199764706,0.082352941,0.236,3674.312601,0.199764706,0.082352941,0.236
43227,1820,2,0.55,0,0.55,1.5,6.06,7,9,8,71,16,2,1,1,1,1,1,5,781,0,1,0,0,0,0,30,1,5,1,43227,3,1,6,3,2,1,1,1,1,0,42500,1,1,0,0,2,0,1,0,0,0,0,42.5,17.5,0.012941176,0.035294118,0.142588235,5365.853659,0.031428571,0.085714286,0.346285714
43227,1820,1,0.4,0,0.4,2.5,7.12,7,12,8,71,16,2,1,1,1,1,1,5,781,0,1,0,0,0,0,30,1,5,1,43227,3,1,6,3,2,1,1,1,1,0,42500,1,1,0,0,2,0,1,0,0,0,0,42.5,17.5,0.009411765,0.058823529,0.167529412,5365.853659,0.022857143,0.142857143,0.406857143
43227,1820,3,0.55,8,8.55,2.5,6.06,8,12,8,62,21,2,1,1,1,1,1,3,781,0,1,0,0,0,0,30,1,5,1,43227,3,1,6,3,2,1,1,1,1,0,42500,1,1,0,0,2,0,1,0,0,0,0,42.5,17.5,0.201176471,0.058823529,0.142588235,5365.853659,0.488571429,0.142857143,0.346285714
43506,1723,3,8.85,8,16.85,3.5,47.63,50,99,50,490,147,1,1,1,1,1,1,4,832,1,0,0,0,0,0,42,2,6,1,43506,3,1,9,7,2,1,1,1,0,1,125000,1,0,1,0,3,0,0,0,1,0,0,125,62.5,0.1348,0.028,0.38104,145.8827233,0.2696,0.056,0.76208
43506,1723,2,10.42,4,14.42,1.5,41.42,50,87,50,490,125,1,1,1,1,1,1,2,832,1,0,0,0,0,0,42,2,6,1,43506,3,1,9,7,2,1,1,1,0,1,125000,1,0,1,0,3,0,0,0,1,0,0,125,62.5,0.11536,0.012,0.33136,145.8827233,0.23072,0.024,0.66272
